Removed Pin From Net: NetName=GND Pin=D6-1
Removed Pin From Net: NetName=GND Pin=D7-1
Removed Pin From Net: NetName=GND Pin=D8-1
Removed Pin From Net: NetName=NetR18_1 Pin=R18-1
Removed Pin From Net: NetName=NetR19_1 Pin=R19-1
Removed Pin From Net: NetName=NetR20_1 Pin=R20-1
Removed Pin From Net: NetName=NetR18_1 Pin=U15-28
Removed Pin From Net: NetName=NetR20_1 Pin=U15-34
Removed Pin From Net: NetName=NetR21_1 Pin=U15-35
Removed Pin From Net: NetName=NetR22_1 Pin=U15-36
Change Component Comment : Designator=C31 Old Comment=2.2uF New Comment=10uF
Change component parameters: Designator = "C31"; Footprint = "Capacitor ALU"; UniqueID = "\SAHCFRWB"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Aluminum Electrolytic Capacitors - SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://www.alliedelec.com/m/d/ad9eed8922c31d260fc5efb233f3771b.pdf?src-supplier=Allied+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.alliedelec.com/m/d/ad9eed8922c31d260fc5efb233f3771b.pdf?src-supplier=Allied+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://industrial.panasonic.com/www-data/pdf/ABA0000/ABA0000CE5.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://industrial.panasonic.com/www-data/pdf/ABA0000/ABA0000CE5.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://www.distrelec.biz/Web/Downloads/_t/ds/EEEFC_series_eng_tds.pdf?mime=application%2Fpdf&src-supplier=Distrelec"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://www.distrelec.biz/Web/Downloads/_t/ds/EEEFC_series_eng_tds.pdf?mime=application%2Fpdf&src-supplier=Distrelec"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "http://www.mouser.com/ds/2/315/ABA0000CE5-68492.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "http://www.mouser.com/ds/2/315/ABA0000CE5-68492.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "http://uk.rs-online.com/webdocs/06bc/0900766b806bc525.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "http://uk.rs-online.com/webdocs/06bc/0900766b806bc525.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
